Gss year for this respondent                       ,Respondent id number,Labor force status,Number of hours worked last week,Number of hours usually work a week,Ever work as long as one year,R self-emp or works for somebody,Rs census occupation code (1980),Rs industry code   (1980),Rs census occupation code (2010),Number of children,Age of respondent,Highest year of school completed,Rs highest degree,Respondents sex,Race of respondent,Was r born in this country,Number of persons in household,How many in family earned money,Total family income,Respondents income,Total family income,Respondents income,Health -- version y,General happiness,Condition of health,Is life exciting or dull,To work hard,Weeks r. worked last year,Was r's work part-time or full-time?,Satisfaction with financial situation,Opinion of family income,Ever unemployed in last ten yrs,Opinion of how people get ahead,Rs living standard compared to parents,Work arrangement at main job,Time at current job,Usual work schedule,Days per month r work extra hours,How often r works at home,Usual reason r work at home,R has job other than main,Job requires r to learn new things,Job requires r to work fast,R does numerous things on job,R has too much work to do well,R knows what's expected on job,Job allows r use of skills,R proud to work for employer,A lot of freedom to decide how to do job,The job security is good,How fair is what r earn on the job,Income alone is enough,Rs health in general,Days of poor physical health past 30 days,Days of poor mental health past 30 days,Days of activity limitation past 30 days,How often during past month r felt used up,R had back pain in the past 12 months,Trouble sleeping last 12 months,Job satisfaction in general,R work for whom,How often does r find work stressful,Internet access in r's home,The highest degree r have earned,Is r us citizen,Does r own or rent home?,Number in family of r,Respondent socioeconomic index,Year of birth,Ballot used for interview,Occupation code based on o*net,R's socioeconomic index (2010)
2010,964,Working fulltime,40,Not applicable,Not applicable,Someone else,"Administrative support occupations, n.e.c.",Department stores,"Office and administrative support workers, all other",2,56,16,Bachelor,Female,White,Yes,2,2,$25000 or more,$25000 or more,$150000 or over,$60000 to 74999,Too much,Very happy,Not applicable,Not applicable,2nd important,52,Full-time,Satisfied,Far above average,Yes,Not applicable,Much better,"Regular, permanent employee",5,Day shift,3,More than once a week,Worker wants to work at home,No,Agree,Agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Excellent,0,0,0,Sometimes,No,Rarely,Very satisfied,Private company,Hardly ever,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,50.5,1954,Ballot b,119199.02,45.3
2010,965,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,Licensed practical nurses,Nursing and personal care facilities,Licensed practical and licensed vocational nurses,2,25,13,High school,Male,White,Yes,4,2,$20000 - 24999,$1000 to 2999,$22500 to 24999,$1 000 to 2 999,Too little,Very happy,Excellent,Routine,Not applicable,25,Part-time,Not at all sat,Below average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Not applicable,Not applicable,Pays rent,1st person,43.7,1985,Ballot a,292061,46.6
2010,966,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,Assemblers,"Machinery, except electrical, n.e.c.",Miscellaneous assemblers and fabricators,3,32,14,Junior college,Female,Black,Yes,4,1,$6000 to 6999,$5000 to 5999,$6 000 to 6 999,$5 000 to 5 999,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,12,Full-time,Not at all sat,Below average,Yes,Not applicable,Somewhat worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,26.7,1978,Ballot b,292061,25
2010,967,Working fulltime,60,Not applicable,Not applicable,Someone else,"Truck drivers, heavy",Alcoholic beverages,Driver/sales workers and truck drivers,0,25,12,High school,Male,White,Yes,4,4,$25000 or more,$25000 or more,$75000 to $89999,$25000 to 29999,Not applicable,Very happy,Good,Routine,Not applicable,52,Full-time,More or less,Average,Not applicable,Luck or help,Not applicable,Paid by a temporary agency,6,Day shift,20,About once a week,4,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Very true,Very true,Somewhat less than you deserve,No,Very good,15,0,0,Often,No,Sometimes,Somewhat satisfied,Private company,Always,Not applicable,Not applicable,Not applicable,Own or is buying,3rd person,31.5,1985,Ballot a,533033,32
2010,968,Retired,Not applicable,Not applicable,Yes,Someone else,"Managers and administrators, n.e.c.",Miscellaneous fabricated metal products,First-line supervisors of office and administrative support workers,2,80,12,High school,Female,White,Yes,1,0,$25000 or more,Not applicable,$30000 to 34999,Not applicable,Not applicable,Pretty happy,Not applicable,Not applicable,2nd important,0,Not applicable,Satisfied,Above average,No,Not applicable,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,63.5,1930,Ballot b,431011,52
2010,969,Other,Not applicable,Not applicable,Yes,Someone else,"Health aids, except nursing",Drug stores,Health practitioner support technologists and technicians,2,47,14,Junior college,Female,White,Yes,1,0,$7000 to 7999,Not applicable,$7 000 to 7 999,Not applicable,Too little,Pretty happy,Poor,Dull,Most important,0,Not applicable,Not at all sat,Below average,Yes,Hard work,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Associate's,Not applicable,Not applicable,1st person,36.5,1963,Ballot c,292052,37.2
2010,970,Working fulltime,35,Not applicable,Not applicable,Someone else,Janitors and cleaners,Grocery stores,Janitors and building cleaners,2,37,12,High school,Female,White,Yes,1,1,Lt $1000,Lt $1000,Under $1 000,Under $1 000,Not applicable,Pretty happy,Fair,Dull,Not applicable,52,Full-time,More or less,Far below average,Not applicable,Both equally,Not applicable,"Regular, permanent employee",7,Night shift,0,Never,Not applicable,No,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat true,Somewhat true,About as much as you deserve,No,Fair,20,10,4,Sometimes,Yes,Sometimes,Somewhat satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Pays rent,1st person,28.4,1973,Ballot a,499042,20.7
2010,971,Other,Not applicable,Not applicable,Yes,Someone else,"Child care workers, except private household",Elementary and secondary schools,Teacher assistants,3,28,12,High school,Female,White,Yes,2,0,Don't know,Not applicable,Don't know,Not applicable,Too little,Pretty happy,Not applicable,Not applicable,Most important,0,Not applicable,Not at all sat,Far below average,No,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,2nd person,33.1,1982,Ballot b,259041,26.1
2010,972,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,2,33,12,High school,Female,White,Yes,4,No answer,Refused,Refused,Refused,Refused,Too little,Very happy,No answer,Exciting,Not applicable,No answer,No answer,More or less,No answer,Not applicable,Hard work,Not applicable,No answer,99,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,Yes,Not applicable,Not applicable,Own or is buying,1st person,-1,1977,Ballot a,No answer,-1
2010,973,Working fulltime,45,Not applicable,Not applicable,Someone else,"Teachers, secondary school",Elementary and secondary schools,Special education teachers,3,61,17,Graduate,Female,Other,Yes,1,1,$25000 or more,$25000 or more,$50000 to 59999,$50000 to 59999,About right,Pretty happy,Good,Exciting,Most important,52,Full-time,More or less,Average,No,Hard work,Somewhat worse,"Regular, permanent employee",8,Day shift,20,About once a week,Worker has to work at home to keep up with job,No,Agree,Disagree,Strongly agree,Strongly agree,Agree,Agree,Agree,Somewhat true,Very true,About as much as you deserve,Yes,Good,2,1,2,Very often,Yes,Sometimes,Somewhat satisfied,Government or government agency,Always,Not applicable,Not applicable,Not applicable,Not applicable,1st person,80.3,1949,Ballot c,252031,71.7
2010,974,Retired,Not applicable,Not applicable,Yes,Someone else,General office clerks,"Social services, n.e.c.","Office clerks, general",2,85,12,High school,Female,White,Yes,1,0,$15000 - 19999,Not applicable,$15000 to 17499,Not applicable,Not applicable,Pretty happy,Fair,Routine,Not applicable,0,Not applicable,More or less,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,37.7,1925,Ballot a,439061,35.8
2010,975,Working fulltime,52,Not applicable,Not applicable,Someone else,Industrial truck and tractor equipment operators,Beverage industries,Industrial truck and tractor operators,1,53,No answer,High school,Female,White,No,1,1,$25000 or more,$25000 or more,$60000 to 74999,$60000 to 74999,About right,Very happy,Not applicable,Not applicable,2nd important,52,Full-time,More or less,Average,No,Not applicable,Somewhat worse,"Regular, permanent employee",17,Rotating shifts,16,Never,Not applicable,No,Agree,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,Somewhat less than you deserve,No,Fair,0,0,0,Rarely,Yes,Never,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,A u.s. citizen,Own or is buying,1st person,29.2,1957,Ballot b,537051,20.9
2010,976,Working fulltime,40,Not applicable,Not applicable,Someone else,"Sales rep., mining, manufacturing, and wholesale","Machinery, equipment, and supplies","Sales representatives,  wholesale and manufacturing",0,36,12,High school,Female,White,Yes,2,2,$25000 or more,$7000 to 7999,$75000 to $89999,$7 000 to 7 999,Too much,Pretty happy,Excellent,Routine,Not applicable,52,Full-time,More or less,Average,Not applicable,Both equally,Not applicable,"Regular, permanent employee",Less than 6 months,Day shift,6,Never,Not applicable,No,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Very true,Somewhat true,About as much as you deserve,No,Excellent,1,1,0,Often,Yes,Sometimes,Somewhat satisfied,Private company,Often,Yes,Not applicable,Not applicable,Own or is buying,1st person,64.1,1974,Ballot a,414012,62
2010,977,Working parttime,25,Not applicable,Not applicable,Self-employed,"Supervisors and proprietors, sales occupations","Business services, n.e.c.",Diagnostic related technologists and technicians,1,65,18,Graduate,Male,White,Yes,2,1,$25000 or more,$25000 or more,$60000 to 74999,$30000 to 34999,Not applicable,Not too happy,Not applicable,Not applicable,2nd important,52,Part-time,More or less,Average,No,Not applicable,Much better,"Regular, permanent employee",15,Day shift,0,More than once a week,Worker wants to work at home,No,Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly agree,Very true,Somewhat true,About as much as you deserve,No,Excellent,5,0,0,Rarely,No,Rarely,Very satisfied,Private company,Sometimes,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,50.7,1945,Ballot b,111021,69.3
2010,978,Working fulltime,48,Not applicable,Not applicable,Self-employed,Archivists and curators,Miscellaneous retail stores,"Archivists, curators, and museum technicians",0,23,16,High school,Male,White,Yes,1,1,Refused,Refused,Refused,Refused,Not applicable,Pretty happy,Good,Routine,Not applicable,51,Full-time,Satisfied,Average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",2,Day shift,5,About once a week,4,No,Strongly agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,No answer,Yes,Very good,0,25,0,Often,No,Sometimes,Very satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Pays rent,1st person,71.2,1987,Ballot a,254012,70.4
2010,979,School,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,1,19,12,High school,Male,Black,Yes,4,1,$1000 to 2999,Not applicable,$1 000 to 2 999,Not applicable,Too little,Very happy,Not applicable,Not applicable,Most important,12,Part-time,Satisfied,Average,No,Not applicable,About the same,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,-1,1991,Ballot b,No answer,-1
2010,980,Working fulltime,40,Not applicable,Not applicable,Someone else,"Teachers, elementary school",Elementary and secondary schools,Elementary and middle school teachers,0,32,18,Graduate,Female,White,Yes,2,2,$25000 or more,$25000 or more,$75000 to $89999,$50000 to 59999,Too much,Pretty happy,Excellent,Exciting,Not applicable,52,Full-time,Satisfied,Average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",10,Day shift,10,More than once a week,Worker wants to work at home,Yes,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat true,Very true,About as much as you deserve,No,Excellent,3,3,0,Very often,No,Often,Very satisfied,Government or government agency,Often,Yes,Master's,Not applicable,Own or is buying,2nd person,78.5,1978,Ballot a,252021,80.9
2010,981,Retired,Not applicable,Not applicable,Yes,Someone else,Welders and cutters,"Blast furnaces, steelworks, rolling and finishing mills","Welding, soldering, and brazing workers",5,81,12,High school,Male,White,Yes,1,0,$25000 or more,Not applicable,$40000 to 49999,Not applicable,Too little,Pretty happy,Fair,Routine,Most important,0,Not applicable,More or less,Average,No,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Not applicable,1st person,32.3,1929,Ballot c,514121.06,28.4
2010,982,Working fulltime,40,Not applicable,Not applicable,Someone else,Janitors and cleaners,Eating and drinking places,Janitors and building cleaners,0,26,7,Lt high school,Male,White,Yes,6,2,$25000 or more,$20000 - 24999,$35000 to 39999,$20000 to 22499,Not applicable,Very happy,Good,Exciting,2nd important,52,Full-time,Satisfied,Average,No,Hard work,Much better,"Regular, permanent employee",7,Night shift,0,Never,Not applicable,No,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,Somewhat more than you deserve,Yes,Very good,2,0,0,Very often,Yes,Sometimes,Very satisfied,Private company,Never,No,Not applicable,Not applicable,Not applicable,1st person,28.4,1984,Ballot c,372011,20.7
2010,983,Working fulltime,40,Not applicable,Not applicable,Someone else,"Teachers, prekindergarten and kindergarten",Elementary and secondary schools,Special education teachers,1,30,19,Graduate,Female,White,Yes,3,2,$25000 or more,$25000 or more,$130000 to $149999,$50000 to 59999,Too little,Pretty happy,Good,Exciting,Not applicable,52,Full-time,Satisfied,Average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",5,Day shift,20,More than once a week,Worker has to work at home to keep up with job,No,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Very good,0,0,0,Often,No,Never,Very satisfied,Government or government agency,Sometimes,Yes,Master's,Not applicable,Own or is buying,1st person,56.6,1980,Ballot a,252041,71.7
2010,984,Retired,Not applicable,Not applicable,Yes,Someone else,Miscellaneous food preparation occupations,Elementary and secondary schools,Dining room and cafeteria attendants and bartender helpers,5,74,12,High school,Female,White,Yes,2,2,Refused,Not applicable,Refused,Not applicable,About right,Pretty happy,Excellent,Routine,2nd important,0,Not applicable,Satisfied,Average,No,Hard work,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Not applicable,Not applicable,Not applicable,2nd person,29,1936,Ballot c,353021,13.3
2010,985,Retired,Not applicable,Not applicable,Yes,Someone else,Dental assistants,Offices of dentists,Dental assistants,3,58,13,High school,Female,White,Yes,1,1,$1000 to 2999,Not applicable,$1 000 to 2 999,Not applicable,Not applicable,Pretty happy,Good,Exciting,Not applicable,0,Not applicable,More or less,Above average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,39.6,1952,Ballot a,319091,28.6
2010,986,Working fulltime,45,Not applicable,Not applicable,Self-employed,"Managers and administrators, n.e.c.",Job training and vocational rehabilitation services,Education administrators,0,63,18,Graduate,Female,White,Yes,2,1,$25000 or more,$25000 or more,$90000 to $109999,$75000 to $89999,Not applicable,Pretty happy,Good,Exciting,2nd important,52,Full-time,Satisfied,Above average,No,Hard work,Much better,"Regular, permanent employee",18,Day shift,1,More than once a week,Worker has to work at home to keep up with job,No,Agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,Somewhat less than you deserve,Yes,Very good,30,0,30,Often,No,Rarely,Very satisfied,Private company,Often,Yes,Master's,Not applicable,Not applicable,1st person,63.5,1947,Ballot c,111011,75.5
2010,987,Working fulltime,45,Not applicable,Not applicable,Someone else,"Managers and administrators, n.e.c.",Membership organizations,Chief executives,2,53,16,Bachelor,Female,White,Yes,1,3,$25000 or more,$25000 or more,$110000 to $129999,$110000 to $129999,Not applicable,Pretty happy,Not applicable,Not applicable,3rd important,52,Full-time,Satisfied,Above average,No,Not applicable,Somewhat worse,"Regular, permanent employee",16,Day shift,15,More than once a week,Worker has to work at home to keep up with job,No,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Somewhat true,Very true,About as much as you deserve,No,Excellent,0,2,0,Sometimes,No,Sometimes,Very satisfied,Non-profit organization,Often,Not applicable,Not applicable,Not applicable,Own or is buying,1st person,63.5,1957,Ballot b,111011,77.4
2010,988,Retired,Not applicable,Not applicable,Yes,Someone else,Lawyers,"Justice, public order, and safety",Lawyers,1,63,19,Graduate,Male,White,Yes,2,2,$25000 or more,$20000 - 24999,$150000 or over,$20000 to 22499,Too little,Pretty happy,Not applicable,Not applicable,Most important,24,Part-time,Satisfied,Far above average,No,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,92.3,1947,Ballot b,231011,91.1
2010,989,Working fulltime,52,Not applicable,Not applicable,Someone else,Registered nurses,Hospitals,Nurse anesthetists,2,34,20,Graduate,Female,White,Yes,4,2,$25000 or more,$25000 or more,$150000 or over,$130000 to $149999,Not applicable,Very happy,Excellent,Exciting,Most important,52,Full-time,Satisfied,Above average,No,Hard work,Much better,"Regular, permanent employee",2,Day shift,10,Never,Not applicable,No,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Excellent,0,0,0,Very often,No,Rarely,Very satisfied,Non-profit organization,Always,Not applicable,Not applicable,Not applicable,Not applicable,2nd person,73.2,1976,Ballot c,291199.02,88.6
2010,990,"Unempl, laid off",Not applicable,Not applicable,Not applicable,Someone else,"Technicians, n.e.c.","Commercial research, development, and testing labs",Medical scientists,1,59,18,Graduate,Male,Black,No,2,2,$25000 or more,$25000 or more,$150000 or over,$90000 to $109999,Too much,Pretty happy,Good,Routine,Most important,52,Full-time,More or less,Above average,Yes,Hard work,Much better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Master's,A u.s. citizen,Not applicable,2nd person,66.1,1951,Ballot c,292012,88
2010,991,Retired,Not applicable,Not applicable,Yes,Someone else,"Teachers, elementary school",Elementary and secondary schools,Secondary school teachers,2,64,18,Graduate,Female,White,Yes,2,2,$25000 or more,Not applicable,$110000 to $129999,Not applicable,Too little,Very happy,Good,Exciting,Not applicable,2,Part-time,Satisfied,Average,Not applicable,Hard work,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Yes,Master's,Not applicable,Own or is buying,1st person,78.5,1946,Ballot a,252022,82.5
2010,992,Working parttime,28,Not applicable,Not applicable,Someone else,"Investigators and adjusters, except insurance","Business services, n.e.c.",Customer service representatives,0,58,12,High school,Female,White,Yes,2,1,$20000 - 24999,$10000 - 14999,$22500 to 24999,$12500 to 14999,Too little,Not too happy,Not applicable,Not applicable,3rd important,52,Full-time,Not at all sat,Below average,Yes,Not applicable,Somewhat worse,"Regular, permanent employee",2,Night shift,0,Worker works mainly at home,Worker wants to work at home,No,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Not at all true,Somewhat true,Somewhat less than you deserve,No,Good,0,30,0,Often,No,Rarely,Not at all satisfied,Private company,Often,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,53.3,1952,Ballot b,434051,37.6
2010,993,Retired,Not applicable,Not applicable,Yes,Someone else,Public relations specialists,"Social services, n.e.c.",Computer and information systems managers,0,75,18,Graduate,Female,White,Yes,1,0,$25000 or more,Not applicable,$110000 to $129999,Not applicable,Too little,Pretty happy,Good,Exciting,Not applicable,0,Not applicable,Satisfied,Above average,Not applicable,Both equally,Not applicable,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,No,Master's,Not applicable,Own or is buying,1st person,73.8,1935,Ballot a,151099.11,83.8
2010,994,Retired,Not applicable,Not applicable,Yes,Someone else,Registered nurses,Hospitals,Registered nurses,3,84,14,Junior college,Female,White,Yes,2,0,$25000 or more,Not applicable,$25000 to 29999,Not applicable,Not applicable,Not too happy,Not applicable,Not applicable,Most important,0,Not applicable,More or less,Below average,No,Not applicable,Somewhat better,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Own or is buying,2nd person,73.2,1926,Ballot b,291111,84.2
2010,995,Working parttime,30,Not applicable,Not applicable,Someone else,Registered nurses,Membership organizations,Registered nurses,2,56,15,Junior college,Female,White,Yes,3,3,$25000 or more,$25000 or more,$60000 to 74999,$25000 to 29999,Too little,Pretty happy,Excellent,Routine,3rd important,52,Part-time,Satisfied,Average,Yes,Hard work,Somewhat worse,"Regular, permanent employee",7,Day shift,0,More than once a week,Worker wants to work at home,No,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Very true,Somewhat true,About as much as you deserve,No,Excellent,0,0,0,Sometimes,No,Sometimes,Somewhat satisfied,Private company,Sometimes,Yes,Associate's,Not applicable,Not applicable,1st person,73.2,1954,Ballot c,291111,84.2
2010,996,Other,Not applicable,Not applicable,No,Not applicable,Not applicable,Not applicable,Not applicable,1,56,7,Lt high school,Female,White,Yes,1,0,Don't know,Not applicable,Don't know,Not applicable,About right,Pretty happy,Not applicable,Not applicable,3rd important,0,Not applicable,More or less,Average,No,Not applicable,Much worse,Not applicable,-1,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No issp,Not applicable,Not applicable,Not applicable,Pays rent,1st person,-1,1954,Ballot b,No answer,-1
2010,997,Working fulltime,50,Not applicable,Not applicable,Someone else,Agricultural and food scientists,Grocery stores,Agricultural and food scientists,0,30,18,Graduate,Female,White,Yes,1,1,$10000 - 14999,$10000 - 14999,$12500 to 14999,$12500 to 14999,Not applicable,Pretty happy,Excellent,Exciting,2nd important,30,Part-time,More or less,Average,Yes,Luck or help,Much better,"Regular, permanent employee",Less than 6 months,Day shift,4,Never,Not applicable,No,Strongly agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Very true,Very true,About as much as you deserve,Yes,Excellent,0,5,0,Often,No,Rarely,Very satisfied,Private company,Hardly ever,Yes,Master's,Not applicable,Not applicable,1st person,73.3,1980,Ballot c,191012,77.7
2010,998,Working parttime,13,Not applicable,Not applicable,Someone else,General office clerks,Warehousing and storage,"Office clerks, general",2,21,14,High school,Female,White,Yes,3,1,$1000 to 2999,$1000 to 2999,$1 000 to 2 999,$1 000 to 2 999,About right,Very happy,Excellent,Routine,Not applicable,12,Part-time,More or less,Below average,Not applicable,Hard work,Not applicable,"Regular, permanent employee",6-11.9 months,Day shift,2,Never,Not applicable,No,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Very true,Very true,About as much as you deserve,No,Excellent,4,4,4,Sometimes,Yes,Sometimes,Very satisfied,Private company,Never,Yes,Not applicable,Not applicable,Own or is buying,1st person,37.7,1989,Ballot a,439061,35.8
2010,999,Working fulltime,46,Not applicable,Not applicable,Someone else,Miscellaneous material moving equipment operators,Glass and glass products,"Laborers and freight, stock, and material movers, hand",2,39,11,Lt high school,Male,Black,Yes,2,1,Refused,Refused,Refused,Refused,Not applicable,Very happy,Good,Exciting,Most important,52,Full-time,More or less,No answer,Yes,Hard work,Much better,"Regular, permanent employee",3,Day shift,2,Never,Not applicable,No,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Very true,Very true,About as much as you deserve,No answer,Excellent,0,0,0,Sometimes,No,Never,Very satisfied,Private company,Sometimes,Yes,Not applicable,Not applicable,Not applicable,1st person,31.4,1971,Ballot c,537062,23.3
